,C,H,O,N,C13,S,P,Na,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect,NOSC,GFE,AI,AI_Mod,DBE,DBE_O,DBE_AI,ElComposition,bs1_class,bs2_class,bs3_class
497.194312,35,30,1,0,0,1,0,0,C35H30OS,0.0285714285714286,0.857142857142857,0,0,NA,496.639140389493,0.36085961050685,-0.742857142857143,81.4714285714286,0.575757575757576,0.582089552238806,21,20,19,CHOS,Other,Unsat Hydrocarbon,Other
497.1947902,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.639618055531,0.360381944469225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.2028228,24,34,11,0,0,0,0,0,C24H34O11,0.458333333333333,1.41666666666667,0,0,NA,496.647641686258,0.352358313742172,-0.5,74.55,0,0.135135135135135,8,-3,-3,CHO,Lignin,Lignin,Other
497.212041,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.656849593133,0.343150406866641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.2158688,21,39,11,0,0,0,1,0,C21H39O11P,0.523809523809524,1.85714285714286,0,0.0476190476190476,0,496.660673118978,0.339326881022316,-1.04761904761905,90.1571428571428,0,0,3,-8,-9,CHOP,Protein,Protein,Lipid
497.2162517,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.661055591428,0.338944408571876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.217687,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.662489288759,0.337510711240668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.2181928,28,34,8,0,0,0,0,0,C28H34O8,0.285714285714286,1.21428571428571,0,0,NA,496.662994523979,0.337005476021488,-0.642857142857143,78.6214285714286,0.2,0.333333333333333,12,4,4,CHO,Lignin,Lignin,Other
497.2310799,25,39,8,0,0,0,1,0,C25H39O8P,0.32,1.56,0,0.04,0,496.675867234128,0.324132765872434,-1.12,92.22,0,0.1,7,-1,-2,CHOP,Protein,Protein,Lipid
497.231409,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.676195966652,0.323804033348495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.2391603,25,38,10,0,0,0,0,0,C25H38O10,0.4,1.52,0,0,NA,496.683938611481,0.316061388519302,-0.72,80.82,0,0.1,7,-3,-3,CHO,Protein,Protein,Other
497.252086,22,43,10,0,0,0,1,0,C22H43O10P,0.454545454545455,1.95454545454545,0,0.0454545454545455,0,496.696849878529,0.303150121471333,-1.27272727272727,96.5727272727273,0,0,2,-8,-9,CHOP,Protein,Protein,Lipid
497.288601,23,47,9,0,0,0,1,0,C23H47O9P,0.391304347826087,2.04347826086957,0,0.0434782608695652,0,496.733324105553,0.266675894446564,-1.47826086956522,102.430434782609,0,0,1,-8,-9,CHOP,Other,Protein,Lipid
497.2974125,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.742125766554,0.257874233446216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.593333,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,497.03771583908,0.962284160920149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.676846,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,497.121135587718,0.878864412281985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.6771661,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,497.121455330291,0.878544669708504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.930737,15,17,6,1,0,6,0,0,C15H17NO6S6,0.4,1.13333333333333,0.0666666666666667,0,NA,497.374743090759,0.625256909240761,0.666666666666667,41.3,0,0,8,2,-5,CHNOS,Lignin,Lignin,Other
497.9310315,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,497.375037261918,0.624962738082104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.931435,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,497.375440311366,0.624559688633781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498.0520255,32,9,4,3,0,0,0,0,C32H9N3O4,0.125,0.28125,0.09375,0,NA,497.495896158937,0.504103841063397,0.25,53.175,0.92,0.925925925925926,30,26,23,CHNO,Other,Cond Hydrocarbon,Other
498.0525286,19,17,15,1,0,0,0,0,C19H17NO15,0.789473684210526,0.894736842105263,0.0526315789473684,0,NA,497.496398697171,0.503601302829338,0.842105263157895,36.3,0,0.333333333333333,12,-3,-4,CHNO,Tannin,Tannin,Other
498.052795,19,17,15,1,0,0,0,0,C19H17NO15,0.789473684210526,0.894736842105263,0.0526315789473684,0,NA,497.496664799706,0.503335200293975,0.842105263157895,36.3,0,0.333333333333333,12,-3,-4,CHNO,Tannin,Tannin,Other
498.0608865,13,27,13,1,0,1,2,0,C13H27NO13SP2,1,2.07692307692308,0.0769230769230769,0.153846153846154,0.5,497.504747264665,0.495252735335214,-0.461538461538462,73.4538461538462,0,0,2,-11,-15,CHNOSP,Carbohydrate,Carbohydrate,Amino Sugar
498.0674143,36,9,1,3,0,0,0,0,C36H9N3O,0.0277777777777778,0.25,0.0833333333333333,0,NA,497.511267775665,0.488732224334967,0.0555555555555554,58.7166666666667,0.9375,0.938461538461538,34,33,30,CHNO,Other,Cond Hydrocarbon,Other
